Median Household Income (Current Year $),Total Population,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 1990,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Dwellings by Tenure Owner,Dwellings by Tenure Renter
44302.36,3230,159,316,443,73,39,195,1294,5,512,861
69562.55,3318,535,475,127,84,15,877,462,4,663,564
71724.61,10534,121,1121,129,360,1440,3801,514,0,3386,796
39520.37,3783,400,443,351,128,47,257,1233,8,507,936
126881.87,11037,311,755,626,452,365,4003,47,1,3336,389
68971.88,4457,1251,528,50,61,27,1389,660,2,1252,652
112022.25,5068,5,0,0,22,54,1405,6,0,1118,64
43194.44,60,3,0,9,3,0,16,0,0,8,2
74535.59,460,0,0,0,0,0,151,0,0,109,15
77359.72,6027,2,9,26,851,683,1190,1161,0,1677,475
95530.85,7397,1068,540,241,251,101,1799,914,0,2000,579
51340.6,2661,54,434,330,76,137,229,1150,0,743,559
70704.27,5074,373,447,241,286,176,1403,417,176,1417,518
50992.43,3148,841,489,130,86,13,602,1009,10,666,866
41952.84,4119,913,542,293,75,17,145,1720,5,699,1124
90116.05,3907,0,527,256,307,49,1239,398,0,1124,305
180894.78,3120,62,62,38,129,351,1042,11,0,954,35
60581.49,4198,63,1212,101,80,7,924,628,0,900,589
102137.01,7903,10,715,1020,616,119,2397,594,2,2557,248
59434.06,4523,12,191,481,747,482,313,1750,0,468,1443
44816.82,4710,264,1402,235,98,8,183,1864,4,586,1391
113157.03,6478,5,72,135,861,296,2018,91,190,2062,202
96092.49,3665,13,16,23,654,83,957,40,0,801,97
41439.95,1730,513,185,85,38,12,78,769,25,240,594
77836.03,9173,24,35,103,1292,459,1445,1640,0,2229,683
40386.65,4900,692,828,148,99,9,164,1776,25,630,1229
70761.06,4352,35,1481,139,43,6,1462,267,0,1444,270
106219.11,7988,374,504,350,248,438,2875,119,5,2525,365
42692.33,3407,879,617,211,65,22,674,1273,0,616,1166
50710.33,5309,950,825,239,142,20,1990,224,4,1306,847
77998.04,802,9,9,15,25,58,253,0,0,21,36
35427.4,2787,575,377,66,105,18,787,422,0,459,666
81693.59,3964,291,1106,97,48,22,1126,628,5,1270,490
91140.8,4836,1023,557,220,80,32,1576,394,5,1482,373
91238.24,7553,0,22,58,868,646,1407,314,0,1362,203
53802.91,4488,108,266,414,785,192,1195,913,40,1431,589
86221.23,6526,216,465,533,689,279,2306,89,4,2135,196
88981.29,2528,0,0,0,50,590,668,16,0,621,36
54459.22,4968,308,830,387,317,89,1499,548,0,1150,845
95896.36,868,287,43,12,0,0,178,166,0,202,138
98613.23,5461,0,0,0,88,881,1673,11,0,1437,142
72444.61,4770,99,1084,190,195,151,1519,279,0,1230,511
116056.03,3311,229,353,386,175,40,917,355,0,1022,193
77361.54,2694,384,647,31,0,2,958,125,5,803,218
85721.1,1141,185,85,28,15,24,327,56,0,315,70
28219.26,4790,187,1342,516,469,90,287,2523,1,868,1807
118720.97,4292,1439,109,16,11,0,1228,393,5,1230,356
72670.87,6417,420,816,671,272,106,1478,964,0,1183,1042
39536.67,2612,962,240,81,56,46,60,1361,9,397,1021
77306.11,8403,30,270,504,624,828,2224,718,18,2293,563
94191.29,3803,27,102,508,682,81,1302,157,0,1035,346
54791.44,2790,208,423,178,166,61,1154,64,0,1015,185
50000,1408,92,120,60,73,67,431,51,8,415,91
52733.48,4354,101,1040,746,356,71,78,2370,0,688,1568
47003.89,1667,102,226,210,79,93,5,1007,0,164,778
82304.53,5180,0,20,58,1232,244,1784,42,0,1540,196
100829.08,2028,282,246,59,45,29,684,20,0,608,83
48884.38,3474,533,413,116,104,50,776,504,4,783,424
71143.33,5091,78,1338,200,58,25,1464,567,0,1314,597
50536.57,645,17,27,37,144,0,131,95,0,165,66
95541.8,3117,130,961,150,37,27,1107,230,5,1081,267
86790.54,6095,147,495,372,283,48,1765,459,32,1845,270
43231.16,1090,35,170,89,92,28,463,0,5,375,74
46474.44,7068,1605,1185,228,135,99,695,2782,4,1102,2139
105138.28,8869,104,838,401,82,71,2820,344,4,2825,185
81558.19,9423,143,1023,371,275,269,2399,1465,4,2444,1242
72238.84,2428,59,765,58,38,0,909,20,0,724,170
107489.02,1879,201,350,53,11,11,630,28,0,464,124
118917.91,5783,16,75,641,906,46,1696,143,4,1503,204
46860.33,6263,325,479,455,683,276,1341,1759,12,1135,1780
55120.34,8617,88,985,1364,317,38,549,3268,1,2194,1340
94114.28,2193,16,215,302,80,120,760,16,0,682,38
76130.07,5311,353,1370,420,167,16,1607,875,4,1520,881
37008.26,2687,500,497,117,52,10,256,948,0,257,871
43117.4,8568,560,1462,519,389,481,1015,3123,3,1196,2488
107156.59,6522,20,205,117,485,571,1997,601,5,1999,479
90084.61,1908,235,444,29,20,0,723,12,0,509,210
91161.25,5021,29,576,720,346,10,1501,235,0,1428,253
83229.86,22748,338,99,144,921,1847,127,15248,13,5078,6813
67509.57,2701,694,450,66,52,15,775,551,0,684,559
86439.58,5409,337,651,236,331,177,870,1460,15,1305,835
73437.91,3878,238,538,152,146,118,1102,312,58,959,429
91415.08,4931,17,335,353,361,414,1672,46,0,1581,97
80000,4167,189,423,233,202,178,1482,140,14,1374,224
37819.48,5454,1175,878,281,153,53,917,1841,11,1068,1629
93049.81,12795,246,440,476,468,815,4646,94,6,3772,546
46772.66,6021,1653,616,223,145,54,917,1825,9,882,1682
113971.5,4508,56,1250,244,88,20,1216,485,4,1221,431
124401.7,5287,2,15,14,173,330,1313,624,11,1486,269
117056.31,13046,53,334,413,333,54,3439,600,1,3371,395
69347.2,4979,590,695,189,126,195,1118,810,0,796,980
93114.75,6384,12,257,615,461,478,2110,6,0,1557,427
84750.41,3582,247,1137,24,0,8,1316,117,4,1104,274
43941.21,4913,1216,1041,438,142,25,690,2249,3,832,1877
86766.61,6272,39,1006,186,292,216,1655,223,684,2212,265
77426.03,9329,354,1178,364,640,246,3169,404,81,3061,454
107672.64,10576,63,52,24,264,1214,3069,28,0,2614,234
66329.55,3769,946,365,30,66,18,1176,369,0,939,539
41157.27,4811,1137,833,264,140,13,58,2524,9,627,1818
51611.08,5374,717,1351,308,201,110,1412,1362,4,803,1835
67231.96,4507,37,1252,140,27,11,1204,313,0,1025,380
60223.62,5790,27,1522,480,79,30,1862,398,4,1291,812
114881.94,1181,132,28,11,2,98,257,371,0,452,138
95083.56,4976,0,11,4,32,718,1391,22,6,1137,158
0,0,0,0,0,0,0,0,0,0,0,0
80495.19,7123,270,380,331,757,568,1619,1416,4,1727,1073
62773.3,4540,171,896,107,84,24,584,858,0,784,534
101565.28,3342,121,418,196,147,60,620,449,5,706,337
71674.04,8533,474,1140,404,435,183,1034,2458,3,1660,1587
59345.24,7742,1206,639,86,47,192,788,2076,9,1624,1092
86099.12,2770,175,756,73,32,10,1059,16,0,935,76
90713.42,4974,502,484,67,275,31,1666,17,0,1392,118
96008.35,2269,19,157,181,252,78,813,35,5,733,98
74669.33,5340,201,993,372,136,60,1337,861,37,1328,725
49583,2828,690,396,115,124,58,154,1330,5,426,981
70433.67,3957,32,419,616,122,22,934,375,295,1418,103
187219.41,3832,909,175,54,47,44,944,429,0,954,325
131056.44,3542,0,55,822,175,18,1110,0,0,995,36
68677.59,4928,1031,784,88,17,22,1609,390,0,1334,553
52291.91,5509,770,741,88,267,101,946,1087,0,819,1088
65779.22,4848,1395,550,87,98,19,1807,443,9,1491,767
