Median Household Income (Current Year $),Total Population,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 1990,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Dwellings by Tenure Owner,Dwellings by Tenure Renter
48077.69,6653,0,94,322,404,127,15,3321,0,1556,1606
100490.26,4017,1302,105,9,26,0,1441,103,0,1324,120
95688.52,6406,10,26,29,611,889,1963,83,0,1640,288
83433.46,4747,35,1027,325,58,0,1039,435,0,1170,230
78907.65,5151,1281,1143,174,83,0,330,2490,4,864,1851
107589.49,4211,3,22,59,588,344,1134,144,0,1047,113
108469.54,6490,361,588,512,298,175,2093,62,8,1815,175
87529.21,1418,241,145,95,43,16,537,5,31,485,69
137635.24,3688,0,453,287,99,192,1114,104,0,1032,63
54140.43,4135,578,708,130,46,46,1341,328,10,973,593
29849.44,5124,1108,1525,246,170,66,69,3155,5,290,2771
87275.41,4777,152,470,273,604,156,1773,150,102,1677,314
73484.86,3216,283,446,176,203,57,618,737,31,736,563
38784.14,3300,459,561,186,178,72,1419,56,76,1277,232
93333.36,3247,12,414,497,215,0,1091,78,0,1038,74
80056.86,3127,5,809,258,52,8,957,192,0,903,203
71360.29,6546,119,1732,205,79,77,1708,685,0,1734,464
104728.77,4434,225,666,378,201,104,1560,116,0,1277,352
53624.63,6212,1390,460,201,175,109,422,2246,11,969,1576
52420.69,7381,9,64,530,613,500,373,3563,0,2337,1172
70080.33,2615,618,346,33,59,13,522,593,0,593,518
106668.96,5752,30,328,1284,83,19,1701,156,0,1595,135
53740.55,6887,557,1051,309,347,90,1634,1089,267,1799,1065
116102.1,6386,205,569,845,414,152,1894,550,0,2107,304
83923.33,5321,64,1265,217,237,32,1314,732,0,1263,659
112024.79,5456,1170,376,114,78,46,1266,981,0,1288,819
38487.55,1694,336,172,112,29,8,370,347,3,194,513
51679.28,5920,886,779,117,50,18,1094,832,0,1131,677
43245.56,3385,1166,155,24,21,3,773,608,10,690,655
94593.58,5014,25,24,89,1204,250,1532,175,0,1366,255
49699.08,4478,762,674,63,92,40,1134,518,9,489,1129
46858.82,5221,59,367,419,703,858,0,2841,0,1740,1032
105377.66,4601,587,441,374,210,43,1281,541,17,1422,383
79439.66,1820,67,321,35,58,18,541,126,10,525,110
34502.46,2243,786,246,79,48,6,389,808,5,389,732
55470.24,752,71,108,58,25,10,84,195,4,128,163
44585.34,3357,943,267,100,128,39,666,887,16,587,881
87241.16,5635,238,635,478,381,70,1516,554,0,1629,326
72515.33,1833,556,155,36,36,0,316,514,5,431,407
105330.89,6776,808,850,466,286,11,2297,321,0,2141,321
87073.51,6324,65,629,222,240,148,426,1175,0,861,627
80227.49,5801,53,1223,194,161,63,1865,199,5,1805,166
48001.98,891,82,137,113,54,41,441,24,7,393,59
77573.46,4021,111,1039,143,241,35,1374,162,66,1211,349
45621.47,7248,792,996,325,831,516,606,3451,4,1754,2144
103884.65,4744,1232,207,36,38,43,1279,420,0,1167,437
83895.54,7560,491,571,557,499,181,1097,1730,22,1817,888
80000,42,1,1,0,0,1,8,0,0,4,1
46026.65,5941,337,1372,382,512,173,137,3119,0,1593,1465
88980.64,6269,222,627,178,220,353,1941,313,18,1796,291
112462.25,4022,40,367,469,226,106,1371,137,11,1312,143
75740.74,6999,962,581,153,126,258,1135,1963,0,1418,1412
85251.23,5896,240,1631,141,71,0,1392,743,0,1484,485
69775.45,3745,952,343,56,32,26,1146,304,0,1109,275
58548.73,2609,974,172,0,10,0,1031,126,10,904,240
100905.47,843,16,73,31,30,11,191,0,49,166,35
73605.73,4091,653,776,26,17,67,1387,347,5,1270,389
65913.56,5000,421,302,346,350,138,993,798,4,1111,576
40976.86,5765,623,356,450,692,569,0,3406,4,1020,2035
40105.15,2407,854,192,51,67,3,540,647,6,459,689
89805.17,3955,33,65,188,541,230,1353,235,0,1296,192
59545.32,5070,861,586,149,114,41,1044,791,0,1232,477
68454.05,9435,1039,1511,402,491,362,595,4566,4,1684,3082
48069.29,4040,248,1392,238,131,27,446,1622,5,527,1552
82263.27,6483,30,1559,413,323,38,2353,125,0,1891,402
112237.82,4814,0,30,271,751,507,1357,356,0,1411,192
72357.77,5246,1531,281,40,20,3,1260,661,5,1432,418
49689.77,2770,550,402,102,102,56,69,1311,14,634,694
81732.7,8291,16,108,660,1081,77,1025,1245,0,1574,614
92246.8,3405,170,965,114,38,12,869,425,47,864,379
50324.35,387,3,26,10,58,10,124,0,13,76,10
56189.56,119,13,18,18,0,0,40,9,0,36,11
72982.23,5111,324,787,162,121,177,1429,788,11,1559,462
86883.69,2957,964,92,14,21,0,656,455,5,805,271
47660.96,3889,761,513,132,114,21,877,762,0,692,801
60000,771,18,76,61,33,51,280,10,0,282,17
106611.65,3026,95,476,170,148,82,1045,28,0,973,43
120781.49,4648,0,0,224,1143,303,1422,314,0,1674,10
106702.16,5858,75,745,367,404,261,1926,78,15,1857,101
109260.71,4289,56,68,232,569,151,799,483,0,939,245
58164.64,6588,760,1182,389,348,89,1700,1266,14,1926,1044
70086.67,3452,9,8,101,725,374,445,1246,0,1361,221
50982.45,1856,311,114,26,21,0,250,528,0,449,249
76078.15,2165,654,201,33,3,11,805,108,0,697,182
61983.15,6932,375,1699,150,153,54,1682,825,5,1660,756
112245.4,5423,237,375,510,478,272,1943,119,4,1732,207
47815.94,2938,490,716,135,83,10,646,817,5,544,914
75172.48,5988,58,1273,316,391,108,1748,450,4,1756,387
106464.62,5801,41,313,304,659,297,1917,32,5,1749,89
43365.28,4851,459,1175,219,95,18,662,1401,0,518,1402
84199.39,5957,642,425,164,299,319,2230,59,5,1911,216
40000,7,3,1,1,0,0,0,6,0,2,3
82299.37,5942,69,534,441,856,49,1516,767,6,1815,387
74499.13,3270,586,385,134,98,25,791,547,5,707,598
89541.13,7681,315,1017,315,962,218,2620,553,0,2253,708
111962.24,4764,173,176,694,222,57,1331,155,5,1244,85
36980.15,3787,1082,396,124,78,29,403,1486,5,601,1190
165338.31,3816,131,188,209,285,208,1237,5,0,1118,48
58488.87,3318,672,585,78,42,3,1047,372,0,789,529
38031.7,5058,352,1081,328,325,97,386,2178,3,1303,1146
30567.19,3887,813,693,131,129,54,449,1636,23,347,1582
95404.72,6916,160,371,932,562,170,2245,148,0,2067,166
32471.97,2219,642,289,40,37,12,429,609,25,314,714
131492.77,6447,0,14,426,807,587,1996,432,0,2122,157
33994.14,5941,331,1033,124,50,0,0,1581,0,0,1463
68210.92,126,21,12,5,5,6,74,0,6,36,13
134708.43,4336,37,405,498,326,28,1386,0,0,1300,25
79965.85,10725,246,1083,475,585,359,3400,630,193,3247,798
51074.29,2841,1087,261,64,43,0,28,1478,29,515,944
29081.26,5700,538,1175,158,95,15,307,1750,0,338,1587
54241.69,3496,211,595,152,195,89,848,673,0,750,682
97688.94,7535,11,0,13,79,727,2659,192,0,2211,374
87949.45,4787,486,625,218,188,71,1596,420,10,1291,641
84488.77,1866,560,49,13,23,47,574,308,4,535,279
106047.05,6880,497,583,522,312,240,2334,62,45,2076,232
49693.2,6098,368,1063,635,555,150,797,2390,0,1177,1761
99296.55,4464,82,881,130,267,85,1332,302,54,1459,179
133948.71,3448,1127,66,24,29,20,915,462,0,983,303
91144.28,5452,15,339,1434,266,12,1693,465,0,1737,278
68160.34,11274,60,146,410,991,324,2205,1935,3,2958,844
58136.44,2147,280,352,67,94,72,733,251,27,573,349
47590.91,6822,874,1266,510,305,76,910,2249,0,1144,1809
221352.11,2789,0,0,0,0,0,895,6,6,628,103
59176.98,5292,1152,512,338,271,23,1075,1348,4,1329,927
86366,5505,637,496,93,447,262,1652,491,3,1800,161
52551.89,3170,864,328,178,51,10,371,1160,10,770,695
109702.25,8023,94,170,90,515,584,1638,844,5,1951,356
71430.17,5425,226,1863,198,82,39,1742,793,10,1854,655
74547.56,2907,725,329,61,48,25,935,297,5,762,444
44061.98,5676,1430,766,330,164,24,1297,1431,14,967,1719
68937.04,4287,954,717,69,41,11,1153,662,5,1124,650
99064.6,10704,9,0,0,32,1017,2919,11,0,2496,99
84055.79,1869,385,252,20,35,64,621,175,0,555,195
44692.27,6625,1426,1825,256,227,53,350,3784,4,1220,2734
45404.2,2626,762,157,9,37,14,559,440,5,491,482
108013.64,6299,160,880,405,271,110,2098,67,104,1854,265
77788.13,1289,378,70,0,15,24,473,132,0,418,128
86974.85,6479,29,529,139,216,257,1441,0,1250,1889,135
94397.28,4004,215,390,583,155,31,1180,285,2,1082,251
100716.34,3890,30,996,204,30,0,1269,29,0,1069,119
46364.63,4702,1228,528,79,97,45,1395,620,9,1145,828
95555.65,7636,72,230,531,384,391,1901,1090,5,2514,353
108652.03,6335,0,0,0,215,882,1643,406,0,1491,396
32855.81,2241,676,188,104,109,75,300,969,5,398,817
133874.54,7892,79,40,224,437,957,2411,46,3,2170,75
77099.82,5587,1679,515,64,0,3,1561,759,0,1488,703
40643.12,5648,1190,1456,532,301,52,59,3769,0,538,2981
97250.11,4442,8,139,334,415,298,1266,286,0,1375,70
59320.73,6155,110,568,526,611,180,1892,536,38,1839,520
119490.71,6158,131,456,1264,96,0,1901,57,0,1791,86
44730.03,3432,916,378,111,104,23,118,1505,8,522,1017
50053.56,5743,280,1481,530,267,9,793,1849,1,1133,1408
112240.81,7245,0,12,0,67,1080,2121,10,0,1846,202
71488.49,4672,70,938,294,266,131,1035,880,0,923,909
20084.95,802,257,152,74,23,0,40,473,5,72,437
51982.93,5100,13,190,751,820,156,756,1555,0,1267,766
52900.15,7090,172,1780,177,72,10,1834,479,9,1353,803
115283.13,5532,55,229,1123,408,28,1823,117,5,1667,177
69402.56,3419,342,223,138,275,138,534,819,0,1158,103
76376.26,8205,171,1306,344,194,72,742,1740,9,1501,840
96157.76,9022,276,499,380,1283,417,2635,472,0,2457,457
81693.06,8411,246,971,480,616,288,2310,760,4,2572,408
62170.2,6420,387,1323,424,168,11,1756,727,0,1417,921
51875.97,1605,148,169,130,100,15,479,199,5,433,224
84118.8,3302,15,729,408,14,0,1135,115,0,1125,81
61548.62,4343,257,1014,266,69,17,1209,446,5,1169,465
83122.67,4485,590,320,343,240,79,1218,497,4,1117,496
41460.08,6376,775,1252,195,201,21,332,2164,0,321,2021
74354.38,3273,661,636,68,32,33,933,533,0,854,555
93365.95,4791,109,1642,135,23,6,1658,330,0,1317,543
33871.31,4798,903,613,470,116,56,149,2106,27,508,1608
48440.69,1362,471,186,56,21,15,10,764,0,232,506
42223.13,5396,2,28,76,1295,777,0,2387,6,1364,874
84293.91,3066,26,557,438,122,3,1002,161,5,965,176
0,0,0,0,0,0,0,0,0,0,0,0
81344.18,6371,94,1111,363,259,287,1850,349,4,1621,459
55000.9,6822,83,1198,938,447,54,531,2289,0,559,2031
52559.51,7306,3,224,929,559,269,1423,706,0,1791,207
70513.03,4964,46,421,317,221,137,419,846,0,801,462
73286.29,4014,1048,500,219,63,17,727,1178,4,913,983
89684.77,4073,1279,152,41,53,26,779,824,0,941,557
118703.5,2205,0,11,41,418,71,431,203,0,498,79
59714.64,1981,373,268,37,23,23,685,151,0,515,285
96824.19,2604,413,156,141,88,46,863,55,4,606,250
56158.3,6932,37,229,1017,698,64,1059,1066,0,1057,900
72134.44,5123,1621,347,58,53,0,800,1299,69,942,1076
68027.67,5412,46,219,507,578,121,695,1180,4,1162,612
39296.9,3909,1299,353,124,60,24,981,985,14,746,1065
53568.64,3099,598,590,87,31,16,857,584,0,785,636
30182.8,4289,201,1003,282,45,14,114,1495,0,291,1330
27089.51,6456,43,373,95,209,382,673,1943,0,1031,1295
42363.77,5518,197,1339,208,134,14,714,1227,0,743,1123
115644.16,6935,0,26,280,1750,223,2338,68,0,2141,112
39731.99,1675,160,196,37,134,13,289,287,0,238,337
76831.27,7907,206,832,553,257,159,2115,548,1,2209,340
47521.12,5652,354,639,374,283,113,275,1629,0,486,1290
77877.62,6837,643,1120,552,201,24,1924,788,4,1651,908
115741.74,8195,96,732,518,331,425,2714,90,0,2611,125
83990.97,7384,1596,978,305,145,119,1962,1370,16,2139,1094
60177.09,4426,576,872,127,72,31,1036,669,0,608,1042
67723.16,3817,233,237,97,175,88,191,923,0,595,485
41427.59,2142,825,240,47,30,27,5,1199,11,228,908
111278.79,4555,677,143,143,202,55,992,485,0,1066,301
81743.32,5430,0,25,75,589,301,725,700,20,1103,319
70027.83,5023,300,975,278,343,201,1116,1200,9,1301,962
84395.21,5979,217,1122,463,243,43,1642,742,7,1735,581
137128.77,4513,0,8,360,209,604,1307,305,0,1251,186
98502.41,3587,1023,303,66,63,15,746,762,16,736,701
88030.37,3537,912,490,225,78,56,436,1355,5,887,886
104861.22,5643,32,140,99,47,547,1260,449,5,1222,333
42677.67,18,1,3,1,1,0,7,4,0,3,3
61367.13,4163,129,1456,111,45,8,1131,660,0,940,758
92765.23,4346,185,1103,158,85,53,1597,46,0,1492,102
43384.91,7563,12,34,38,432,1002,122,3842,0,2237,1345
71163.4,5324,44,901,658,144,43,906,959,0,1323,433
69439.97,4077,532,773,158,195,35,1287,352,145,1420,299
42648.79,4777,286,898,163,98,54,12,2108,4,748,1237
110354.26,3806,47,405,562,221,16,1303,5,0,1181,52
68941.43,7245,527,1094,497,286,270,2433,528,4,1960,901
100000,25,0,1,1,0,0,2,0,0,6,0
56511.01,6193,377,1563,307,187,58,1059,1743,4,1167,1540
41540.12,3500,333,812,137,64,27,206,1239,0,355,1024
50476.36,7672,1476,461,296,394,229,819,2418,5,1481,1521
74076.17,7129,19,120,1008,602,53,952,953,0,1323,424
50267.8,8809,102,1250,1038,1068,350,466,4742,9,1798,2865
100216.58,2496,133,680,1,0,0,822,0,0,801,7
57316.6,6582,248,1516,227,103,14,801,1366,5,913,1083
91850.47,7308,0,12,3,114,1300,1723,77,0,1571,96
87880.29,2870,38,137,309,499,47,863,229,0,822,213
110453.56,2926,24,306,161,133,31,385,610,0,455,405
115688.72,4674,0,0,17,411,769,1430,0,0,1216,122
34218.91,4579,135,833,198,247,12,22,1725,10,291,1330
56733.54,3553,824,255,55,86,22,897,389,0,880,321
86278.74,13980,0,0,0,62,620,4499,140,0,3640,484
45193.27,3692,619,828,405,126,47,303,1823,4,514,1489
56375.46,201,0,9,26,22,3,56,21,4,59,15
85392.11,4191,32,397,289,262,84,576,676,0,796,371
74693.59,6363,87,1629,331,73,11,1774,438,0,1516,555
60681.76,5828,307,1079,382,138,48,1757,490,5,1460,691
37484.86,6360,31,461,269,814,331,120,2975,0,1593,1173
71522.94,5124,67,404,639,345,78,606,1003,0,825,671
110745.45,5862,0,271,1626,73,3,1913,90,0,1533,374
75601.64,3531,89,407,152,266,22,564,541,4,764,249
70184.96,6000,93,1583,268,105,36,1613,517,0,1170,890
90475.81,1793,132,209,198,90,21,603,107,0,585,120
79412.7,3673,31,1106,224,63,20,782,194,524,864,585
128051.93,8190,15,111,1041,694,334,2315,96,0,2156,66
51613.26,1564,380,291,55,27,3,318,454,10,347,423
47309.87,6669,1439,976,116,44,21,78,2718,10,1130,1536
100562.91,4326,382,640,176,238,56,1530,132,10,1441,171
118076.95,812,252,10,0,20,3,247,52,0,251,47
96296.47,3053,699,283,14,20,9,1038,61,0,938,134
75459.04,2620,63,314,173,217,102,1126,41,5,1040,96
100807.57,3145,16,146,720,79,3,887,94,0,850,101
51617.8,4851,1256,589,183,92,89,900,1643,3,1080,1300
71548.47,3131,765,657,36,27,0,1046,452,0,923,544
42292.48,7364,290,1255,671,549,95,1270,2143,4,1228,2060
129416.41,5535,912,789,87,13,17,1894,21,0,1791,52
227744.8,1721,102,224,83,15,20,475,10,0,451,12
89772.35,9428,33,848,826,557,67,1823,1482,0,2133,1004
50617.03,3612,614,698,156,68,32,384,1238,4,680,879
120744.41,3978,125,157,82,285,247,996,597,4,1348,151
29045.04,2511,553,272,95,133,64,586,570,0,252,821
74873.73,5579,1044,602,181,219,157,1194,1592,0,1476,1027
113040.53,9584,0,28,10,75,966,2673,0,0,2249,189
91578.02,4554,10,94,1132,206,17,1411,62,0,1332,78
108726.56,4404,330,472,525,82,8,1374,113,0,1289,95
38825.68,9757,736,2554,266,129,0,193,3559,0,1297,2210
58819.16,6121,241,1927,150,72,9,1890,600,0,1377,932
57099.48,1694,88,289,113,86,54,700,5,39,659,64
75000,15,0,1,1,1,1,5,0,0,4,1
32507.45,3001,171,1143,234,80,41,248,1473,0,206,1485
61490.07,9382,2194,2474,593,239,23,173,6177,1,524,5097
43589.32,7242,180,1606,667,503,222,96,4220,0,961,2758
59207.56,4474,260,789,168,273,94,1508,468,29,1598,339
94441.92,7780,2,27,37,533,1123,1867,101,0,1563,248
99394.69,1847,8,40,226,49,7,498,61,0,462,47
116021.67,6007,0,0,24,168,1074,1541,37,0,1401,82
96236.75,4945,475,430,386,214,135,1699,112,5,1557,214
97714.67,2145,138,261,70,110,43,640,68,5,562,113
24468.42,1522,398,228,185,62,19,82,825,10,106,750
103871.35,4808,19,773,404,439,125,1503,335,0,1387,327
109007.01,4096,411,439,315,136,40,1420,12,5,1294,122
133328.31,4116,0,11,43,727,198,1057,11,0,930,35
56648.73,1451,147,105,141,157,17,501,77,4,346,222
59451.47,5497,93,1175,384,171,180,1566,516,0,877,1066
90411.87,4436,778,601,260,333,167,549,1972,0,1131,1216
32223.43,4655,243,1085,263,112,32,0,2010,20,227,1692
130128.03,2749,778,151,27,15,32,864,167,0,764,200
85099.69,4121,454,750,48,46,3,877,461,6,1012,232
71231.92,3312,243,650,113,47,11,910,165,10,929,124
53889.93,1096,222,150,9,4,18,360,145,5,199,293
103675.21,6242,737,682,360,224,141,2078,152,7,1885,301
103792.47,3236,149,224,120,96,28,552,115,9,417,233
80070.79,9865,17,11,31,290,2119,6,5902,0,2149,3162
97876.42,3962,468,364,108,71,281,1309,175,4,1153,213
55298.15,2712,41,341,747,202,21,441,1036,0,806,586
39347.03,4614,248,1320,135,35,2,15,1766,0,502,1262
72105.46,4342,216,1026,557,104,0,265,2112,0,1213,1059
51143.05,1424,152,169,119,51,39,577,20,36,560,60
108983.67,6844,3,10,37,171,1224,1911,348,0,1546,576
89583.71,4665,15,56,691,605,442,1478,391,0,1579,279
55758.75,2376,338,413,58,50,29,1005,0,10,801,126
74745.9,7374,16,520,342,448,163,2088,434,173,2133,328
96618.43,2072,211,225,101,75,38,678,27,5,571,87
114415.05,3797,0,61,843,167,10,956,201,0,928,143
96686.86,3804,692,721,22,15,14,1470,41,0,1392,87
38710.94,87,0,0,12,18,0,22,5,4,3,8
40850.3,6358,576,2200,630,416,104,0,4232,4,854,3133
85656.02,4993,57,875,223,202,46,1268,380,0,1287,263
97732.05,5055,26,468,1247,69,3,1832,33,0,1526,211
74760.48,3442,475,491,230,72,0,1118,296,0,1038,279
97723.28,6465,142,524,321,389,371,2017,75,197,1976,117
52498.33,3291,813,73,21,54,27,22,1000,5,364,598
67235.58,6344,232,659,271,445,204,1903,241,108,1712,478
92739.81,5222,10,0,50,612,554,1601,44,4,1211,342
110973.02,3082,0,720,354,32,0,1147,0,0,967,97
45023.73,3582,187,928,255,135,32,658,962,0,435,1119
50821.23,3622,678,1390,230,89,0,5,2487,0,658,1697
93747.65,8692,40,70,35,604,1106,1858,369,0,1715,320
47480.03,2223,903,155,38,14,0,437,713,4,428,683
54631.45,3994,1130,762,161,42,12,477,1765,9,1105,1071
100966.34,5423,86,1687,309,79,0,1869,375,0,1529,605
57524.45,2811,813,158,38,29,17,435,642,10,641,366
69275.24,6561,485,1432,551,218,58,1884,1041,9,2007,910
83349.54,6169,1250,564,74,39,127,1852,341,10,1812,308
91816.47,9413,11,39,18,29,17,2703,251,0,2268,298
50634.31,4053,319,1887,266,188,2,194,2507,0,611,2059
111904.8,6912,35,1261,546,361,80,2412,3,0,2256,100
71590.73,3115,102,535,265,159,24,958,147,5,784,310
43960.57,3396,898,439,240,98,56,591,1293,22,558,1102
95646.21,7591,61,39,10,10,0,2251,24,0,1492,437
64299.31,3742,347,497,147,121,60,852,416,0,770,415
67684.62,1370,128,171,78,58,35,535,5,0,453,53
31598.88,4034,1102,754,94,47,17,201,1863,5,404,1543
91215.63,4379,61,61,580,524,180,1378,154,0,1185,291
86199.33,7590,143,274,359,261,373,2202,198,4,2127,168
56007.45,5748,387,652,221,370,221,960,1428,4,1426,786
41973.15,4540,764,627,389,293,25,1135,1016,0,935,1094
446456.92,1442,79,155,31,59,59,438,45,0,405,30
41489.48,6087,1451,1225,118,73,2,315,2633,0,366,2390
128037.86,4285,540,549,213,125,57,1589,45,0,1481,106
59596.06,8032,116,1510,676,359,61,1647,1188,0,1626,1035
52310.32,240,0,10,27,16,0,80,3,0,37,16
37918.83,1645,640,207,57,32,26,30,976,36,166,866
77647.38,4553,160,1524,138,26,10,1330,548,0,1116,757
99043.32,1870,0,52,44,46,98,288,241,12,29,121
75408.76,7036,438,649,633,539,46,1498,1068,0,1226,1150
105093.17,2462,427,434,23,10,3,879,97,0,706,197
101576.9,5402,17,166,886,288,17,1212,243,0,1214,144
83804.85,7002,17,472,670,115,106,2329,94,0,1757,411
57656.35,1512,35,160,41,302,122,587,160,4,577,142
77380.71,5144,303,1419,490,95,16,1505,847,0,1661,661
108049.63,2280,150,276,95,147,50,808,5,0,718,48
34599.79,4078,326,826,92,75,9,448,930,0,235,1060
78046.59,3815,95,1014,268,14,13,1267,188,5,1221,222
104454.91,6840,15,254,1567,261,15,2049,102,0,1867,163
79232.69,5494,162,1198,106,231,289,1430,666,0,1140,835
93625.96,3334,10,55,190,325,186,731,214,0,758,118
83825.86,4567,337,493,370,250,187,1241,562,4,1277,458
115097.2,7682,362,463,292,535,208,2372,41,150,2242,140
89087.76,5738,0,11,36,904,517,1567,97,0,1416,166
66900.59,3195,203,966,34,18,13,1090,162,0,876,337
74893.73,3914,100,494,256,80,59,453,894,0,665,615
125526.31,4845,123,371,476,373,206,1718,19,0,1601,44
84257.1,6554,988,754,213,200,98,2402,33,59,2264,149
54513.82,5465,32,1387,227,118,189,1563,492,0,1328,578
67448.07,5574,69,1451,280,76,63,1593,573,0,1320,691
211770.73,6977,93,614,245,534,283,2262,61,15,2054,84
85164.01,9354,7,36,56,1313,1074,2203,1746,1,2963,625
58534.44,5349,664,947,306,261,13,803,1627,3,1224,994
50884.47,1636,388,112,11,77,99,167,599,26,277,461
53645.83,3459,78,723,95,40,14,501,462,27,569,360
54204.54,3500,124,709,173,59,0,235,877,0,619,390
43797.08,2377,637,728,65,83,10,16,1521,0,49,1418
124376.34,4784,15,448,945,203,0,1392,289,0,1299,259
60534.71,2454,900,141,29,8,8,886,208,7,759,304
114884.49,9881,0,8,0,25,41,2657,211,0,2198,300
102567.65,5707,18,17,27,183,663,1566,150,0,1326,302
46089.33,5245,734,352,236,118,14,480,1462,0,1132,647
70548.14,4604,3,64,95,726,551,527,1248,0,406,1125
57448.46,3336,444,721,86,66,9,703,661,5,782,532
127775.6,7390,693,469,193,459,226,1800,780,6,1884,514
57798.65,922,49,86,14,47,29,317,29,8,272,52
49683.05,6431,445,678,304,285,229,651,1686,5,1112,1111
68786.84,1375,269,0,2,0,8,68,574,6,335,185
82102.56,3321,453,558,45,50,13,764,680,4,675,590
52402.36,3183,389,737,159,68,40,693,280,508,1001,366
83096.27,2308,81,624,72,46,40,648,159,172,731,177
84739.95,4778,59,947,475,330,54,1542,337,71,1589,314
73510.95,4416,531,947,130,128,32,1473,392,0,1071,687
74042.2,3473,77,758,297,114,25,1076,215,0,890,355
33164.62,3362,1069,430,58,43,28,251,1532,28,445,1345
53517.75,2456,184,607,140,54,9,458,546,0,311,675
74466.49,7258,538,772,456,632,233,1873,1036,11,1679,1096
89622.87,4463,35,222,689,212,59,1029,229,0,843,337
111056.05,6436,68,848,122,82,20,1656,386,0,1688,184
74367.05,3595,158,1146,39,26,11,1129,298,0,1026,361
83665.58,3047,325,831,74,43,0,1070,215,0,878,369
39824.14,2058,506,234,75,66,29,314,751,32,397,687
133094.91,6333,0,20,0,52,380,1673,484,0,1426,504
85221.1,5122,454,879,386,159,99,1192,1301,0,1198,1113
75859.75,6462,92,1618,278,118,19,1261,936,0,1306,705
73894.3,7330,156,527,478,603,333,1703,79,1233,2706,230
89355.96,4244,18,759,728,73,65,1310,590,4,1501,281
97149.65,6451,64,1682,423,282,58,1784,941,4,1686,852
103251.71,7993,851,1022,361,309,217,2950,149,77,2699,355
52157.63,3793,914,291,76,29,14,1079,272,0,892,387
93689.33,4515,0,0,18,359,701,1221,10,0,1019,114
39944.86,7543,1342,1319,301,225,36,1004,2582,3,859,2427
31617.51,2175,763,243,62,15,10,164,987,0,297,836
55426.71,4347,605,902,56,70,29,525,1192,5,792,852
75898.92,7827,274,828,448,407,292,1718,1019,707,2567,670
79226.83,6288,170,1600,381,58,114,1650,732,5,1898,358
43403.14,3992,173,997,184,88,36,230,1276,0,187,1217
38924.89,5079,1087,652,125,197,13,656,1505,0,613,1413
103285.97,9001,551,709,427,388,396,3503,154,3,3005,423
52983.64,3200,778,318,114,98,65,1143,273,0,779,617
87980.76,8607,7,25,15,42,296,2294,1140,0,2411,878
102776.01,6598,17,874,1318,219,37,2440,83,0,1944,445
67510.34,4106,245,1184,79,37,17,1278,566,5,1411,432
79618.05,5707,2035,263,44,45,3,676,1762,14,999,1314
72571.68,1465,577,50,64,2,0,20,677,5,306,375
53970.97,4886,126,1211,114,108,23,1084,611,0,880,686
85028.29,4288,1161,359,44,26,35,664,1037,0,785,844
48121.07,5655,15,158,505,230,989,5,3029,0,1542,1273
143427.35,4212,117,407,258,172,132,1284,16,0,1129,54
73450.3,9795,1214,575,295,496,131,846,3031,39,1999,1620
92733.06,6797,137,427,115,277,857,2031,25,3,1734,139
41993.29,2230,814,221,69,21,5,27,1204,6,224,928
58894.03,2707,1047,137,23,0,0,1040,189,5,879,274
126294,7133,379,226,627,354,467,2345,123,0,2186,109
48525.37,3541,42,1019,242,97,39,1042,491,0,695,715
80111.48,3268,779,920,145,116,22,324,1723,5,634,1313
121774.85,2981,0,12,170,528,16,770,38,5,706,47
69114.81,3129,244,449,217,127,10,876,60,296,1006,167
70599.34,1955,225,485,67,14,15,557,274,0,647,167
51065.74,3335,304,902,65,36,0,10,1316,0,463,842
46735.9,425,63,75,11,3,0,153,13,0,128,34
108331.83,3633,92,478,276,118,39,931,203,41,937,157
84235.8,3492,165,421,628,74,64,1079,339,0,1049,329
149197.91,8866,16,17,282,652,128,2463,101,3,2023,253
51610.43,3608,181,1202,69,30,12,338,1223,0,489,1048
44406.51,3126,926,448,140,70,15,493,1125,24,664,983
89308.36,5836,16,101,917,535,100,1288,424,8,1331,252
30735.57,4852,1031,878,355,200,45,263,2284,4,590,1854
44094.98,5663,852,527,118,95,5,27,1830,5,532,1221
87889.33,4396,490,264,227,274,156,1580,11,10,1440,106
81199.02,9153,135,671,351,353,648,2728,361,3,2665,288
31133.8,1208,185,221,44,101,8,6,825,0,244,503
117243.82,2731,61,372,216,144,27,891,116,0,796,131
75482.2,4920,56,1507,179,98,10,1459,684,0,1370,576
66633.57,8682,87,1021,782,678,271,2260,1439,9,2346,1130
65000,42,3,20,0,0,0,18,3,3,25,0
42199.04,12410,159,1278,179,588,244,545,5297,4,2987,2345
116607.21,4080,187,1064,66,33,0,1052,254,70,1178,164
119084.21,8196,225,823,398,507,402,2827,211,0,2653,192
77616.94,9984,121,873,562,315,842,2740,1226,0,2479,1248
53918.57,2962,165,761,145,277,23,571,1000,0,597,877
109495.53,13714,24,15,8,262,943,3965,20,0,3598,222
135157.34,3428,1144,134,30,20,10,766,615,9,864,489
93522.35,6750,1169,492,151,157,51,1700,677,0,1501,706
